date,province,cases,count
2020/1/24,广东,total_recoveries,2
2020/1/24,河南,total_recoveries,0
2020/1/24,浙江,total_recoveries,0
2020/1/24,湖南,total_recoveries,0
2020/1/24,安徽,total_recoveries,0
2020/1/24,江西,total_recoveries,0
2020/1/24,江苏,total_recoveries,1
2020/1/24,重庆,total_recoveries,0
2020/1/24,山东,total_recoveries,0
2020/1/24,四川,total_recoveries,0
2020/1/24,黑龙江,total_recoveries,0
2020/1/24,北京,total_recoveries,2
2020/1/24,上海,total_recoveries,1
2020/1/24,福建,total_recoveries,0
2020/1/24,河北,total_recoveries,0
2020/1/24,陕西,total_recoveries,0
2020/1/24,广西,total_recoveries,0
2020/1/24,云南,total_recoveries,0
2020/1/24,海南,total_recoveries,0
2020/1/24,贵州,total_recoveries,0
2020/1/24,山西,total_recoveries,0
2020/1/24,辽宁,total_recoveries,0
2020/1/24,天津,total_recoveries,0
2020/1/24,甘肃,total_recoveries,0
2020/1/24,吉林,total_recoveries,0
2020/1/24,内蒙古,total_recoveries,0
2020/1/24,新疆,total_recoveries,0
2020/1/24,宁夏,total_recoveries,0
2020/1/24,香港,total_recoveries,0
2020/1/24,台湾,total_recoveries,0
2020/1/24,青海,total_recoveries,0
2020/1/24,澳门,total_recoveries,0
2020/1/24,西藏,total_recoveries,0
2020/1/24,湖北,total_deaths,39
2020/1/24,广东,total_deaths,0
2020/1/24,河南,total_deaths,0
2020/1/24,浙江,total_deaths,0
2020/1/24,湖南,total_deaths,0
2020/1/24,安徽,total_deaths,0
2020/1/24,江西,total_deaths,0
2020/1/24,江苏,total_deaths,0
2020/1/24,重庆,total_deaths,0
2020/1/24,山东,total_deaths,0
2020/1/24,四川,total_deaths,0
2020/1/24,黑龙江,total_deaths,1
2020/1/24,北京,total_deaths,0
2020/1/24,上海,total_deaths,0
2020/1/24,福建,total_deaths,0
2020/1/24,河北,total_deaths,1
2020/1/24,陕西,total_deaths,0
2020/1/24,广西,total_deaths,0
2020/1/24,云南,total_deaths,0
2020/1/24,海南,total_deaths,0
2020/1/24,贵州,total_deaths,0
2020/1/24,山西,total_deaths,0
2020/1/24,辽宁,total_deaths,0
2020/1/24,天津,total_deaths,0
2020/1/24,甘肃,total_deaths,0
2020/1/24,吉林,total_deaths,0
2020/1/24,内蒙古,total_deaths,0
2020/1/24,新疆,total_deaths,0
2020/1/24,宁夏,total_deaths,0
2020/1/24,香港,total_deaths,0
2020/1/24,台湾,total_deaths,0
2020/1/24,青海,total_deaths,0
2020/1/24,澳门,total_deaths,0
2020/1/24,西藏,total_deaths,0
2020/1/25,湖北,total_confirmed,1058
2020/1/25,广东,total_confirmed,111
2020/1/25,河南,total_confirmed,83
2020/1/25,浙江,total_confirmed,104
2020/1/25,湖南,total_confirmed,69
2020/1/25,安徽,total_confirmed,60
2020/1/25,江西,total_confirmed,36
2020/1/25,江苏,total_confirmed,33
2020/1/25,重庆,total_confirmed,75
2020/1/25,山东,total_confirmed,46
2020/1/25,四川,total_confirmed,44
2020/1/25,黑龙江,total_confirmed,15
2020/1/25,北京,total_confirmed,63
2020/1/25,上海,total_confirmed,40
2020/1/25,福建,total_confirmed,35
2020/1/25,河北,total_confirmed,13
2020/1/25,陕西,total_confirmed,22
2020/1/25,广西,total_confirmed,36
2020/1/25,云南,total_confirmed,11
2020/1/25,海南,total_confirmed,22
2020/1/25,贵州,total_confirmed,5
2020/1/25,山西,total_confirmed,9
2020/1/25,辽宁,total_confirmed,21
2020/1/25,天津,total_confirmed,14
2020/1/25,甘肃,total_confirmed,7
2020/1/25,吉林,total_confirmed,4
2020/1/25,内蒙古,total_confirmed,7
2020/1/25,新疆,total_confirmed,4
2020/1/25,宁夏,total_confirmed,4
2020/1/25,香港,total_confirmed,5
2020/1/25,台湾,total_confirmed,4
